date,h_team,h_obp,h_slg,h_k_rate,h_bb_rate,v_team,v_obp,v_slg,v_k_rate,v_bb_rate,home_win
20160501,BAL,0.317,0.39,0.224,0.074,CHA,0.349,0.445,0.164,0.107,0
20160501,BOS,0.372,0.503,0.182,0.086,NYA,0.278,0.316,0.222,0.068,1
20160501,MIN,0.308,0.375,0.246,0.092,DET,0.298,0.405,0.243,0.072,0
20160501,OAK,0.315,0.445,0.171,0.073,HOU,0.319,0.368,0.259,0.106,0
20160501,SEA,0.344,0.417,0.181,0.121,KCA,0.31,0.394,0.161,0.076,0
20160501,TBA,0.325,0.445,0.256,0.084,TOR,0.322,0.427,0.229,0.112,0
20160501,TEX,0.309,0.412,0.172,0.07,ANA,0.308,0.428,0.127,0.078,0
20160501,ARI,0.348,0.506,0.183,0.101,COL,0.352,0.462,0.202,0.101,0
20160501,CHN,0.377,0.463,0.17,0.148,ATL,0.298,0.297,0.247,0.062,0
20160501,LAN,0.315,0.336,0.218,0.126,SDN,0.317,0.393,0.249,0.075,1
20160501,MIL,0.305,0.397,0.257,0.097,MIA,0.345,0.458,0.197,0.075,1
20160501,NYN,0.366,0.533,0.197,0.095,SFN,0.392,0.431,0.149,0.144,0
20160501,PHI,0.336,0.402,0.205,0.09,CLE,0.307,0.411,0.242,0.077,1
20160501,PIT,0.377,0.487,0.197,0.106,CIN,0.27,0.342,0.257,0.06,0
20160501,SLN,0.359,0.484,0.192,0.092,WAS,0.286,0.314,0.189,0.089,0
20160502,HOU,0.312,0.354,0.257,0.117,MIN,0.306,0.358,0.236,0.092,0
20160502,KCA,0.309,0.386,0.166,0.067,WAS,0.289,0.339,0.192,0.083,0
20160502,OAK,0.307,0.403,0.167,0.068,SEA,0.356,0.426,0.182,0.119,0
20160502,TOR,0.311,0.43,0.232,0.107,TEX,0.322,0.416,0.177,0.069,0
20160502,CIN,0.277,0.326,0.245,0.077,SFN,0.398,0.439,0.141,0.149,0
20160502,MIL,0.325,0.444,0.245,0.093,ANA,0.339,0.464,0.127,0.089,1
20160502,NYN,0.365,0.478,0.204,0.098,ATL,0.298,0.299,0.241,0.066,1
20160502,PIT,0.377,0.497,0.196,0.108,CHN,0.372,0.44,0.184,0.152,0
20160502,SDN,0.286,0.353,0.277,0.066,COL,0.36,0.468,0.204,0.107,1
20160502,SLN,0.344,0.466,0.207,0.083,PHI,0.331,0.401,0.212,0.092,1
20160503,BAL,0.309,0.376,0.221,0.074,NYA,0.285,0.323,0.215,0.065,1
20160503,CHA,0.368,0.457,0.166,0.109,BOS,0.371,0.491,0.175,0.083,1
20160503,CLE,0.313,0.415,0.242,0.085,DET,0.315,0.442,0.242,0.068,1
20160503,HOU,0.316,0.345,0.262,0.127,MIN,0.293,0.342,0.25,0.083,1
20160503,KCA,0.29,0.356,0.172,0.059,WAS,0.301,0.354,0.198,0.085,1
20160503,OAK,0.285,0.394,0.186,0.068,SEA,0.343,0.408,0.187,0.112,0
20160503,TBA,0.32,0.428,0.258,0.085,LAN,0.305,0.332,0.22,0.123,0
20160503,TOR,0.316,0.431,0.234,0.106,TEX,0.311,0.39,0.172,0.075,1
20160503,CIN,0.288,0.36,0.253,0.07,SFN,0.412,0.473,0.15,0.14,0
20160503,MIA,0.35,0.471,0.18,0.071,ARI,0.345,0.493,0.195,0.098,1
20160503,MIL,0.326,0.423,0.243,0.091,ANA,0.336,0.468,0.139,0.077,1
20160503,NYN,0.369,0.483,0.179,0.112,ATL,0.294,0.297,0.236,0.064,0
20160503,PIT,0.367,0.495,0.205,0.104,CHN,0.381,0.46,0.171,0.145,0
20160503,SDN,0.296,0.361,0.283,0.077,COL,0.362,0.464,0.21,0.105,1
20160503,SLN,0.36,0.515,0.2,0.089,PHI,0.323,0.393,0.208,0.084,0
20160504,BAL,0.311,0.389,0.205,0.077,NYA,0.282,0.325,0.202,0.063,0
