date,local
20170501,1
20170502,1
20170503,1
20170504,1
20170505,1
20170506,1
20170507,1
20170508,1
20170509,1
20170510,1
20170511,1
20170512,1
20170513,1
20170514,1
20170515,1
20170516,1
20170517,1
20170518,1
20170519,1
20170520,1
20170521,1
20170522,1
20170523,1
20170524,1
20170525,1
20170526,1
20170527,1
20170528,1
20170529,1
20170530,1
20170531,1
20170601,1
20170602,1
20170603,1
20170604,1
20170605,1
20170606,1
20170607,1
20170608,1
20170609,1
20170610,1
20170611,1
20170612,1
20170613,1
20170614,1
20170615,1
20170616,1
20170617,1
20170618,1
20170619,1
20170620,1
20170621,1
20170622,1
20170623,1
20170624,1
20170625,1
20170626,1
20170627,1
20170628,1
20170629,1
20170630,1
20170701,1
20170702,1
20170703,1
20170704,1
20170705,1
20170706,1
20170707,1
20170708,1
20170709,1
20170714,1
20170715,1
20170716,1
20170717,1
20170718,1
20170719,1
20170720,1
20170721,1
20170722,1
20170723,1
20170724,1
20170725,1
20170726,1
20170727,1
20170728,1
20170729,1
20170730,1
20170731,1
20170801,1
20170802,1
20170803,1
20170804,1
20170805,1
20170806,1
20170807,1
20170808,1
20170809,1
20170810,1
20170811,1
20170812,1
20170813,1
20170814,1
20170815,1
20170816,1
20170817,1
20170818,1
20170819,1
20170820,1
20170821,1
20170822,1
20170823,1
20170824,1
20170825,1
20170826,1
20170827,1
20170828,1
20170829,1
20170830,1
20170831,1
20170901,1
20170902,1
20170903,1
20170904,1
20170905,1
20170906,1
20170907,1
20170908,1
20170909,1
20170910,1
20170911,1
20170912,1
20170913,1
20170914,1
20170915,1
20170916,1
20170917,1
20170918,1
20170919,1
20170920,1
20170921,1
20170922,1
20170923,1
20170924,1
20170925,1
20170926,1
20170927,1
20170928,1
20170929,1
20170930,1
20171001,1
